epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,525.214,1.29699,2.03536,1.40039,0.80018,0.55684,0.60407,0.41364,1.19305,1.65605,1.31283,0.000414562,0.000414562,0.000414562
2,950.169,1.31791,1.58238,1.39778,0.83189,0.575,0.5945,0.39337,1.24751,2.06073,1.39447,0.000748937,0.000748937,0.000748937
3,1377.41,1.32639,1.47153,1.39422,0.61489,0.57271,0.62628,0.4147,1.26739,1.5325,1.38248,0.00100081,0.00100081,0.00100081
4,1710.91,1.275,1.32828,1.3493,0.67021,0.61008,0.66397,0.46466,1.18651,1.23325,1.31329,0.00087875,0.00087875,0.00087875
5,2058.65,1.2071,1.25543,1.32373,0.78625,0.62508,0.6786,0.48658,1.10454,1.15146,1.2605,0.000755,0.000755,0.000755
6,2420.74,1.15033,1.12691,1.28545,0.71038,0.66377,0.68589,0.48803,1.10459,1.17501,1.27147,0.00063125,0.00063125,0.00063125
7,2742.39,1.10879,1.06359,1.25874,0.91584,0.64095,0.70563,0.50837,1.06795,1.01711,1.23007,0.0005075,0.0005075,0.0005075
8,3078.86,1.06194,1.00211,1.2292,0.75019,0.715,0.73175,0.54421,0.97247,0.93093,1.17119,0.00038375,0.00038375,0.00038375
9,3410.74,0.98775,0.92217,1.19973,0.73596,0.71719,0.72303,0.54351,0.98877,0.91073,1.18078,0.00026,0.00026,0.00026
10,3741.45,0.97073,0.88256,1.19102,0.75567,0.7263,0.738,0.55817,0.944,0.84623,1.14333,0.00013625,0.00013625,0.00013625
